location_id,country,event_type,indicator_name,available_years,first_year,first_year_value,final_year,final_year_value,absolute_change,linear_slope,direction,caveat
pk_gilgit,Pakistan,Wind,annual_event_count,5,2021,1.0,2025,22.0,21.0,6.8,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_gilgit,Pakistan,Temperature,annual_event_count,5,2021,20.0,2025,47.0,27.0,6.2,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
in_srinagar,India,Temperature,annual_event_count,5,2021,20.0,2025,34.0,14.0,4.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_quetta,Pakistan,Temperature,annual_event_count,5,2021,23.0,2025,41.0,18.0,4.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_peshawar,Pakistan,Temperature,annual_event_count,5,2021,21.0,2025,37.0,16.0,3.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Temperature,annual_event_count,5,2021,22.0,2025,29.0,7.0,2.8,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
in_srinagar,India,Rainfall,annual_event_count,5,2021,8.0,2025,19.0,11.0,2.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_kabul,Afghanistan,Temperature,annual_event_count,5,2021,20.0,2025,29.0,9.0,2.1,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_quetta,Pakistan,Wind,annual_event_count,5,2021,12.0,2025,20.0,8.0,2.1,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_gilgit,Pakistan,Rainfall,annual_event_count,5,2021,7.0,2025,16.0,9.0,1.9,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_islamabad,Pakistan,Rainfall,annual_event_count,5,2021,8.0,2025,16.0,8.0,1.9,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_quetta,Pakistan,Heatwave,annual_event_count,5,2021,1.0,2025,8.0,7.0,1.8,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
ir_kerman,Iran,Heatwave,annual_event_count,4,2021,1.0,2025,7.0,6.0,1.5,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_lahore,Pakistan,Rainfall,annual_event_count,5,2021,3.0,2025,11.0,8.0,1.4,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_kandahar,Afghanistan,Heatwave,annual_event_count,5,2021,2.0,2025,7.0,5.0,1.3,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
ir_zahedan,Iran,Heatwave,annual_event_count,5,2021,1.0,2025,7.0,6.0,1.2,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
ir_kerman,Iran,Temperature,annual_event_count,5,2021,29.0,2025,32.0,3.0,1.1,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_karachi,Pakistan,Temperature,annual_event_count,5,2021,29.0,2025,28.0,-1.0,1.1,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_quetta,Pakistan,Rainfall,annual_event_count,4,2021,0.0,2025,5.0,5.0,1.1,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_kandahar,Afghanistan,Rainfall,annual_event_count,5,2021,2.0,2025,5.0,3.0,1.0,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
cn_kashgar,China,Wind,annual_event_count,5,2021,13.0,2025,16.0,3.0,1.0,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_islamabad,Pakistan,Flood,annual_event_count,5,2021,1.0,2025,5.0,4.0,1.0,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
in_jaipur,India,Rainfall,annual_event_count,5,2021,6.0,2025,8.0,2.0,0.9,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
in_amritsar,India,Rainfall,annual_event_count,5,2021,7.0,2025,12.0,5.0,0.8,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
ir_mashhad,Iran,Flood,annual_event_count,5,2021,1.0,2025,4.0,3.0,0.8,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
cn_hotan,China,Drought,annual_event_count,5,2021,1.0,2025,4.0,3.0,0.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
cn_hotan,China,Temperature,annual_event_count,5,2021,30.0,2025,27.0,-3.0,0.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
ir_kerman,Iran,Rainfall,annual_event_count,5,2021,2.0,2025,4.0,2.0,0.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
pk_karachi,Pakistan,Heatwave,annual_event_count,5,2021,4.0,2025,5.0,1.0,0.7,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Flood,annual_event_count,4,2021,0.0,2025,2.0,2.0,0.6,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_kabul,Afghanistan,Flood,annual_event_count,5,2021,1.0,2025,4.0,3.0,0.6,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_kabul,Afghanistan,Heatwave,annual_event_count,5,2021,1.0,2025,4.0,3.0,0.6,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
cn_kashgar,China,Heatwave,annual_event_count,4,2021,0.0,2025,3.0,3.0,0.6,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
in_amritsar,India,Flood,annual_event_count,4,2021,2.0,2025,6.0,4.0,0.6,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
cn_kashgar,China,Flood,annual_event_count,5,2021,2.0,2025,4.0,2.0,0.5,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
cn_urumqi,China,Rainfall,annual_event_count,5,2021,6.0,2025,7.0,1.0,0.5,increasing,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
