source_country,source_location,target_pakistani_location,event_type_mapping,relationship_count,minimum_lag_days,maximum_lag_days,mean_lag_days,median_lag_days,earliest_example,latest_example,caveat
Afghanistan,af_kabul,pk_peshawar,Temperature->Temperature,55,1,10,4.090909,3.0,temperature_0ad10c777f9e,temperature_ead5ab1cf419,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Temperature->Temperature,46,1,10,4.152174,3.0,temperature_09275afbf7fc,temperature_0fbd04ff1e11,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Temperature->Temperature,42,1,9,3.142857,2.0,temperature_1e95ba528180,temperature_8d6e503fed7f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Temperature->Temperature,40,1,8,2.9,2.0,temperature_1b8e29b072d8,temperature_959f6b00532a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Temperature->Temperature,37,1,10,3.540541,3.0,temperature_17ae22d1205d,temperature_66b68a09bd27,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Temperature->Temperature,36,1,10,3.527778,2.0,temperature_0fbd6d98ad6f,temperature_58d247ef080b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_gilgit,Temperature->Temperature,32,1,7,3.03125,3.0,temperature_1adbe4f7c923,temperature_5ae07da16373,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Temperature->Temperature,28,1,9,2.821429,2.0,temperature_11712da7c8d6,temperature_2aed7a846140,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Temperature->Temperature,27,1,10,3.222222,3.0,temperature_267e2df7454a,temperature_5ec1e47a7f66,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Rainfall->Rainfall,27,1,10,4.740741,4.0,rainfall_05a5801dc86a,rainfall_56f08ea5c8e9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Temperature->Temperature,26,1,8,2.923077,2.0,temperature_03a5d5f24879,temperature_550d3771c1cb,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Temperature->Temperature,23,1,10,2.782609,2.0,temperature_0a8ad5b4548a,temperature_5a7f11cc1fd6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Wind->Wind,23,1,10,4.434783,4.0,wind_2843e0253bc3,wind_4831ba0bc6f4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Wind->Wind,23,1,10,4.826087,4.0,wind_2c9703c365fd,wind_49e00f04e7aa,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Temperature->Temperature,22,1,5,2.272727,2.0,temperature_1cf221292e80,temperature_63078d79a4c8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Wind->Wind,22,1,10,4.363636,3.5,wind_206e638b9d14,wind_8ef24bfc2cf2,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_gilgit,Temperature->Temperature,21,1,9,3.809524,3.0,temperature_0cc29c3f4f73,temperature_f5ce3ee4bdc4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Wind->Wind,20,1,9,3.8,2.5,wind_1c0044533df8,wind_76f00aff2eef,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Wind->Wind,20,1,9,3.95,4.0,wind_89de21b27181,wind_273e214aad9c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_gilgit,Wind->Wind,19,1,10,4.210526,4.0,wind_063a3f3d1449,wind_41960fce3203,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Wind->Wind,18,1,10,5.055556,5.0,wind_44452d0b2f98,wind_a7669ee6da22,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Wind->Wind,17,1,10,4.823529,5.0,wind_7f0ab3459df0,wind_08849e6bd453,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Temperature->Temperature,16,1,5,1.625,1.0,temperature_06ae57398a21,temperature_88230453951e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Wind->Wind,16,1,9,4.4375,4.0,wind_129c95262c11,wind_b79dfa16034b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_sukkur,Temperature->Temperature,14,1,3,1.428571,1.0,temperature_09f3e2138f1f,temperature_adbf3f2783cb,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_multan,Temperature->Temperature,14,1,5,1.5,1.0,temperature_06ae57398a21,temperature_0009ae2e8d35,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Wind->Wind,14,1,8,2.857143,2.0,wind_0abf2b768bf8,wind_f4d90dbf95b2,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Wind->Wind,14,1,9,3.857143,3.5,wind_17c2ac2a7a11,wind_7bd265dc1429,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_sukkur,Temperature->Temperature,13,1,10,2.0,1.0,temperature_1adbe4f7c923,temperature_241cf6721c0d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Wind->Wind,13,1,8,2.846154,2.0,wind_233c5be71dea,wind_6870749c41f8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,12,1,1,1.0,1.0,temperature_06f9e4bd6352,temperature_47d4087480ef,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_islamabad,Temperature->Temperature,12,1,4,1.583333,1.0,temperature_0581d644bd91,temperature_965ae56c146d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_sukkur,Temperature->Temperature,11,1,6,1.727273,1.0,temperature_065cb7af2a65,temperature_d15f498a29f6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_multan,Temperature->Temperature,11,1,5,1.636364,1.0,temperature_0cc29c3f4f73,temperature_28ec7d97b213,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_multan,Temperature->Temperature,11,1,5,1.909091,1.0,temperature_09f3e2138f1f,temperature_f511f30184e8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_multan,Wind->Wind,11,1,6,2.0,1.0,wind_055aee74748b,wind_3e1620adfc3c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Temperature->Temperature,11,1,5,2.272727,1.0,temperature_054911102178,temperature_9221105ef543,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Temperature->Temperature,11,1,6,2.181818,1.0,temperature_0fe766e0fbcb,temperature_0c216197462a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_sukkur,Temperature->Temperature,11,1,3,1.363636,1.0,temperature_08ccd45f3b90,temperature_93a69edfc84c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Wind->Wind,11,1,8,3.181818,2.0,wind_2905025c118b,wind_3633df300c06,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Rainfall->Rainfall,11,1,7,3.909091,5.0,rainfall_9f98c20402de,rainfall_882fa031a79c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_multan,Temperature->Temperature,10,1,2,1.2,1.0,temperature_0c8409761f06,temperature_53f7fab22e2e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Wind->Wind,10,1,6,1.5,1.0,wind_055aee74748b,wind_c60b6d36b446,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_islamabad,Wind->Wind,10,1,5,1.6,1.0,wind_1f577478061e,wind_419caec12b55,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Temperature->Temperature,10,1,5,1.5,1.0,temperature_04955bc24214,temperature_e03668450ebe,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Temperature->Temperature,10,1,5,2.0,1.5,temperature_145e7289fc44,temperature_d4a6ed174dfd,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_islamabad,Temperature->Temperature,10,1,4,1.9,1.5,temperature_0891b53392ba,temperature_82ec89763505,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_islamabad,Wind->Wind,10,1,4,2.0,2.0,wind_0b66f94d1234,wind_efc7bed60e09,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Heatwave->Temperature,10,1,10,5.2,4.5,heatwave_116ccc4f23fd,temperature_2f93e8eb7737,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Rainfall->Rainfall,10,1,9,4.5,4.5,rainfall_33d4d820de9d,rainfall_696a1d64f1b0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Rainfall->Rainfall,10,2,9,5.4,5.0,rainfall_03d122208e33,rainfall_2e39bcb1af5a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Temperature->Temperature,9,1,2,1.111111,1.0,temperature_106ec77bad6d,temperature_16630f8b7932,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_multan,Temperature->Temperature,9,1,2,1.222222,1.0,temperature_0ba43d7cd11d,temperature_5736c76a582c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Temperature->Temperature,9,1,4,1.444444,1.0,temperature_1e062d935044,temperature_ecc3061f5e90,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Temperature->Temperature,9,1,4,2.0,1.0,temperature_1f1348c804ac,temperature_db1f3913b388,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_multan,Temperature->Temperature,9,1,3,1.666667,1.0,temperature_15a41fba7374,temperature_638057a9e157,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_multan,Wind->Wind,9,1,5,1.777778,1.0,wind_233c5be71dea,wind_8d3f7a890856,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Temperature->Temperature,9,1,9,3.888889,3.0,temperature_255788a73418,temperature_eb726fe83309,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Wind->Wind,8,1,3,1.375,1.0,wind_150c6b6a3a3e,wind_dbb3679e2e8d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_islamabad,Temperature->Temperature,8,1,2,1.25,1.0,temperature_5f95def02f3b,temperature_1d3cd3d764e3,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_sukkur,Temperature->Temperature,8,1,5,1.5,1.0,temperature_002cf514f45c,temperature_b398405c8b6a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_islamabad,Temperature->Temperature,8,1,3,1.5,1.0,temperature_080460abb61b,temperature_32e3cebc5aea,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Wind->Wind,8,1,3,1.5,1.0,wind_24448150163d,wind_5de923a0bc9f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_sukkur,Temperature->Temperature,8,1,5,2.125,1.5,temperature_1e60b960cc6d,temperature_052807a15d2c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_multan,Wind->Wind,8,1,8,2.875,1.5,wind_0c4d7779b693,wind_45d7252914ed,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
