source_event_id,target_event_id,source_country,source_location,target_pakistani_location,event_type_mapping,lag_days,confidence,inference_status,evidence_type,method,caveat
heatwave_fa9a0f27fabf,heatwave_7a553c970906,Afghanistan,af_herat,pk_islamabad,Heatwave->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_3ab8555e02bf,rainfall_347e7f65d6e0,Afghanistan,af_herat,pk_islamabad,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0fdef35a54f9,temperature_c8f297fcaa32,Afghanistan,af_herat,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_24c7cd92dd21,temperature_4d012b2836f9,Afghanistan,af_herat,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_681bc59af2e5,temperature_85a61172a1e8,Afghanistan,af_herat,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_691c985bb5fc,temperature_de376fe1dd14,Afghanistan,af_herat,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_eccfe34215e3,temperature_7819a2095087,Afghanistan,af_herat,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_008b05411b17,wind_a9d3c4487bb9,Afghanistan,af_herat,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_ace040cd9bc8,wind_e067841709e4,Afghanistan,af_herat,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_d8065de7ce0b,wind_1cb7e2de762a,Afghanistan,af_herat,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
