location_id,location_name,location_kind,country,distinct_event_type_count,event_types,total_event_count,events_by_type,years_with_detected_events,mean_severity_percentile,maximum_severity_percentile
pk_islamabad,Islamabad,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,358,"{""Drought"": 11, ""Flood"": 16, ""Heatwave"": 18, ""Rainfall"": 69, ""Storm"": 18, ""Temperature"": 142, ""Wind"": 84}",2021|2022|2023|2024|2025,0.487603,0.990826
pk_gilgit,Gilgit,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,346,"{""Drought"": 7, ""Flood"": 16, ""Heatwave"": 12, ""Rainfall"": 80, ""Storm"": 11, ""Temperature"": 144, ""Wind"": 76}",2021|2022|2023|2024|2025,0.476251,0.992327
pk_lahore,Lahore,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,339,"{""Drought"": 10, ""Flood"": 15, ""Heatwave"": 22, ""Rainfall"": 46, ""Storm"": 19, ""Temperature"": 145, ""Wind"": 82}",2021|2022|2023|2024|2025,0.492038,0.994266
in_srinagar,Srinagar,city,India,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,338,"{""Drought"": 10, ""Flood"": 13, ""Heatwave"": 12, ""Rainfall"": 78, ""Storm"": 16, ""Temperature"": 125, ""Wind"": 84}",2021|2022|2023|2024|2025,0.541866,1.0
in_amritsar,Amritsar,city,India,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,335,"{""Drought"": 9, ""Flood"": 14, ""Heatwave"": 19, ""Rainfall"": 52, ""Storm"": 20, ""Temperature"": 144, ""Wind"": 77}",2021|2022|2023|2024|2025,0.468776,0.993976
pk_peshawar,Peshawar,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,332,"{""Drought"": 9, ""Flood"": 13, ""Heatwave"": 21, ""Rainfall"": 44, ""Storm"": 6, ""Temperature"": 156, ""Wind"": 83}",2021|2022|2023|2024|2025,0.481516,0.986726
af_herat,Herat,city,Afghanistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,319,"{""Drought"": 9, ""Flood"": 11, ""Heatwave"": 18, ""Rainfall"": 28, ""Storm"": 9, ""Temperature"": 166, ""Wind"": 78}",2021|2022|2023|2024|2025,0.488131,0.99183
in_new_delhi,New Delhi,city,India,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,312,"{""Drought"": 10, ""Flood"": 15, ""Heatwave"": 22, ""Rainfall"": 41, ""Storm"": 10, ""Temperature"": 141, ""Wind"": 73}",2021|2022|2023|2024|2025,0.488353,1.0
af_jalalabad,Jalalabad,city,Afghanistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,303,"{""Drought"": 10, ""Flood"": 15, ""Heatwave"": 19, ""Rainfall"": 39, ""Storm"": 7, ""Temperature"": 132, ""Wind"": 81}",2021|2022|2023|2024|2025,0.49233,0.998853
pk_multan,Multan,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,303,"{""Drought"": 10, ""Flood"": 15, ""Heatwave"": 22, ""Rainfall"": 26, ""Storm"": 7, ""Temperature"": 139, ""Wind"": 84}",2021|2022|2023|2024|2025,0.469066,0.989106
pk_quetta,Quetta,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,298,"{""Drought"": 13, ""Flood"": 14, ""Heatwave"": 19, ""Rainfall"": 27, ""Storm"": 5, ""Temperature"": 136, ""Wind"": 84}",2021|2022|2023|2024|2025,0.47945,1.0
af_kandahar,Kandahar,city,Afghanistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,294,"{""Drought"": 9, ""Flood"": 13, ""Heatwave"": 21, ""Rainfall"": 25, ""Storm"": 9, ""Temperature"": 133, ""Wind"": 84}",2021|2022|2023|2024|2025,0.503912,0.995908
in_jaipur,Jaipur,city,India,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,292,"{""Drought"": 11, ""Flood"": 11, ""Heatwave"": 25, ""Rainfall"": 34, ""Storm"": 7, ""Temperature"": 129, ""Wind"": 75}",2021|2022|2023|2024|2025,0.480507,1.0
pk_sukkur,Sukkur,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,292,"{""Drought"": 12, ""Flood"": 13, ""Heatwave"": 26, ""Rainfall"": 17, ""Storm"": 4, ""Temperature"": 143, ""Wind"": 77}",2021|2022|2023|2024|2025,0.461107,0.990305
ir_mashhad,Mashhad,city,Iran,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,288,"{""Drought"": 12, ""Flood"": 15, ""Heatwave"": 12, ""Rainfall"": 15, ""Storm"": 5, ""Temperature"": 150, ""Wind"": 79}",2021|2022|2023|2024|2025,0.529129,0.996419
cn_urumqi,Urumqi,city,China,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,286,"{""Drought"": 5, ""Flood"": 14, ""Heatwave"": 7, ""Rainfall"": 21, ""Storm"": 3, ""Temperature"": 159, ""Wind"": 77}",2021|2022|2023|2024|2025,0.586978,1.0
pk_karachi,Karachi,city,Pakistan,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,285,"{""Drought"": 14, ""Flood"": 13, ""Heatwave"": 21, ""Rainfall"": 17, ""Storm"": 4, ""Temperature"": 146, ""Wind"": 70}",2021|2022|2023|2024|2025,0.486006,0.998615
cn_kashgar,Kashgar,city,China,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,279,"{""Drought"": 10, ""Flood"": 16, ""Heatwave"": 10, ""Rainfall"": 13, ""Storm"": 1, ""Temperature"": 146, ""Wind"": 83}",2021|2022|2023|2024|2025,0.567446,1.0
cn_hotan,Hotan,city,China,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,275,"{""Drought"": 12, ""Flood"": 13, ""Heatwave"": 11, ""Rainfall"": 3, ""Storm"": 1, ""Temperature"": 144, ""Wind"": 91}",2021|2022|2023|2024|2025,0.534728,0.999427
ir_zahedan,Zahedan,city,Iran,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,273,"{""Drought"": 11, ""Flood"": 12, ""Heatwave"": 20, ""Rainfall"": 7, ""Storm"": 1, ""Temperature"": 146, ""Wind"": 76}",2021|2022|2023|2024|2025,0.470505,0.984655
