event_id,event_type,event_subtype,status,location_id,location_name,country,start_date,end_date,duration_days,total_precipitation_mm,maximum_daily_precipitation_mm,maximum_temperature_c,minimum_temperature_c,maximum_wind_speed_kmh,maximum_wind_gusts_kmh,rolling_precipitation_mm,lookback_days,critical_window_start,critical_window_end,critical_rolling_precipitation_mm,percentile_threshold,absolute_threshold,severity_score,severity_score_raw,severity_percentile,related_rainfall_event_id,related_wind_event_id,derivation_method,source_date_start,source_date_end,source_dataset,inferred,caveat
drought_aa3d21542051,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2021-01-30,2021-02-19,21,1.2000000000000002,0.8,26.2,-2.0,27.9,50.0,1.0,30.0,2021-01-01,2021-01-30,1.0,13.100000000000009,,13.1,13.1,0.743363,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-01,2021-01-30,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_e7a72c897e2d,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2021-03-01,2021-03-12,12,2.4000000000000004,1.1,24.0,0.1,41.4,72.7,5.300000000000001,30.0,2021-01-31,2021-03-01,5.300000000000001,11.740000000000007,,2.2151,2.2151,0.566372,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-31,2021-03-01,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_7cb54cc6cbe5,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2021-04-18,2021-04-30,13,0.1,0.1,35.5,9.1,28.7,51.1,0.2,30.0,2021-03-21,2021-04-19,0.2,0.7000000000000071,,3.5,3.5,0.641593,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-03-21,2021-04-19,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_f01f8df0ca48,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2021-06-04,2021-10-24,143,0.0,0.0,42.4,0.9,39.0,69.1,0.0,30.0,2021-05-06,2021-06-04,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-05-06,2021-06-04,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_b44c6acf8a02,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2022-06-02,2022-10-31,152,0.0,0.0,42.8,3.5,38.3,67.3,0.0,30.0,2022-05-04,2022-06-02,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-05-04,2022-06-02,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_f40e377383a1,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2023-06-21,2023-10-05,107,0.0,0.0,43.4,8.6,39.8,70.2,0.0,30.0,2023-05-23,2023-06-21,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-05-23,2023-06-21,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_3b7800f776a5,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2024-01-14,2024-01-24,11,0.4,0.3,21.6,-1.3,27.9,49.3,12.500000000000009,30.0,2023-12-25,2024-01-23,12.500000000000009,13.100000000000009,,1.048,1.048,0.40708,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-12-25,2024-01-23,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_dbbb64b9a5ef,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2024-06-18,2024-09-28,103,0.0,0.0,42.2,10.5,40.7,76.7,0.0,30.0,2024-05-20,2024-06-18,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2024-05-20,2024-06-18,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_f51e57ab6350,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2025-05-13,2025-12-13,215,6.4,4.0,42.6,-0.9,40.6,84.6,0.0,30.0,2025-04-14,2025-05-13,0.0,7.160000000000011,,7160.0,7160.0,0.982301,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-04-14,2025-05-13,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_8de9cf84729f,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2021-02-07,2021-02-21,15,0.5,0.3,24.9,6.1,11.4,21.2,1.6,30.0,2021-01-23,2021-02-21,1.6,2.8,,1.75,1.75,0.535398,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-23,2021-02-21,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_a30720662285,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2021-06-22,2021-07-18,27,2.4,1.9,43.8,24.3,31.8,57.2,0.0,30.0,2021-05-24,2021-06-22,0.0,2.4,,2400.0,2400.0,0.951327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-05-24,2021-06-22,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_4556ddcd988f,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2022-04-17,2022-05-02,16,1.8,0.7,40.0,16.8,43.3,68.4,0.4,30.0,2022-03-20,2022-04-18,0.4,9.4,,23.5,23.5,0.765487,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-03-20,2022-04-18,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
